id,url,region,region_url,price,years,manufacturer,model,conditions,cylinders,fuel,odometer,title_status,transmission,VIN,drive,sizes,types,paint_color,image_url,county,state,latitude,longitude
7232649901,https://newyork.craigslist.org/wch/ctd/d/bronx-2017-cadillac-escalade-luxury/7232649901.html,"new york city",https://newyork.craigslist.org,42995,2017,cadillac,escalade,NULL,NULL,gas,70733,clean,automatic,1GYS4BKJ8HR204092,4wd,NULL,SUV,black,https://images.craigslist.org/01616_geHt6Jj1ezj_0ak07K_600x450.jpg,NULL,ny,40.885409,-73.829146
7232650241,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2017-audi-q3-premium-plus/7232650241.html,"los angeles",https://losangeles.craigslist.org,22900,2017,audi,q3,"like new",NULL,gas,40120,clean,automatic,WA1HCCFS3HR000211,fwd,mid-size,SUV,grey,https://images.craigslist.org/00J0J_lSNMSCZp6fY_0CI0t2_600x450.jpg,NULL,ca,34.04185,-118.263102
7232650448,https://losangeles.craigslist.org/lac/cto/d/santa-fe-springs-nissan-rogue-sl-clean/7232650448.html,"los angeles",https://losangeles.craigslist.org,4950,2008,nissan,"rogue sl","like new","4 cylinders",gas,160,clean,automatic,NULL,fwd,NULL,SUV,orange,https://images.craigslist.org/00s0s_lCKSrxWr3VK_0CI0t2_600x450.jpg,NULL,ca,33.9464,-118.0838
7232650489,https://losangeles.craigslist.org/lgb/cto/d/lynwood-1956-dodge-c3-pickup-truck/7232650489.html,"los angeles",https://losangeles.craigslist.org,18000,1956,dodge,c3,fair,"8 cylinders",gas,NULL,clean,automatic,NULL,rwd,NULL,pickup,black,https://images.craigslist.org/00s0s_hyIs7UtuX77_0CI0t2_600x450.jpg,NULL,ca,33.9241,-118.2013
7232650611,https://newyork.craigslist.org/wch/ctd/d/peekskill-2006-lincoln-town-car/7232650611.html,"new york city",https://newyork.craigslist.org,6800,2006,lincoln,"town car",good,"8 cylinders",gas,66529,clean,automatic,1LNHM81WX6Y641753,rwd,NULL,sedan,silver,https://images.craigslist.org/00Y0Y_gK4UfYjYiaI_0ak07K_600x450.jpg,NULL,ny,41.279773,-73.926529
7232651797,https://losangeles.craigslist.org/wst/cto/d/modesto-2002-mercedes-g500-wagon-clean/7232651797.html,"los angeles",https://losangeles.craigslist.org,32000,2002,mercedes-benz,"benz g500",excellent,"8 cylinders",gas,165000,clean,automatic,NULL,4wd,full-size,SUV,black,https://images.craigslist.org/00808_l74mcnYm6Tq_0CI0t2_600x450.jpg,NULL,ca,37.7005,-121.0252
7232651850,https://losangeles.craigslist.org/lac/ctd/d/san-bernardino-2015-chevrolet-spark-ls/7232651850.html,"los angeles",https://losangeles.craigslist.org,4950,2015,chevrolet,"spark ls",excellent,"4 cylinders",gas,131500,clean,automatic,NULL,fwd,compact,hatchback,purple,https://images.craigslist.org/00Y0Y_d4vWXkCQqpW_0ak07K_600x450.jpg,NULL,ca,34.071408,-117.294176
7232652088,https://losangeles.craigslist.org/wst/cto/d/miami-2019-lamborghini-huracan-lp-spyder/7232652088.html,"los angeles",https://losangeles.craigslist.org,195000,2019,NULL,"Lamborghini Huracan LP 580-2",excellent,"10 cylinders",gas,37000,clean,automatic,ZHWUR2ZF3KLA11354,NULL,NULL,convertible,black,https://images.craigslist.org/00V0V_4FCHvpcgJg_06A04W_600x450.jpg,NULL,ca,25.7791,-80.1978
7232653899,https://losangeles.craigslist.org/sfv/cto/d/valencia-1999-ford-mustang-svt-cobra/7232653899.html,"los angeles",https://losangeles.craigslist.org,15000,1999,ford,"mustang cobra convertible",excellent,"8 cylinders",gas,NULL,clean,manual,NULL,rwd,NULL,convertible,black,https://images.craigslist.org/00h0h_8ZT3v0AoRLw_0lM0t2_600x450.jpg,NULL,ca,34.2007,-118.5391
7232653911,https://losangeles.craigslist.org/wst/ctd/d/los-angeles-black-friday-deals-chrysler/7232653911.html,"los angeles",https://losangeles.craigslist.org,1000,2015,hyundai,,excellent,"4 cylinders",gas,75000,clean,automatic,NULL,NULL,full-size,sedan,NULL,https://images.craigslist.org/01313_aBFEhhQh21t_1320MM_600x450.jpg,NULL,ca,34.0298,-118.3528
7232654467,https://losangeles.craigslist.org/lac/ctd/d/lawndale-2016-chevrolet-malibu-4dr/7232654467.html,"los angeles",https://losangeles.craigslist.org,11995,2016,chevrolet,malibu,NULL,"4 cylinders",gas,92624,clean,automatic,1G1ZE5ST1GF305391,fwd,NULL,sedan,silver,https://images.craigslist.org/00A0A_byDcV4ETBSY_0cU09G_600x450.jpg,NULL,ca,33.882535,-118.353148
