state,city,year,manufacturer,model,price,mileage,cylinders,drive,fuel,transmission,url,image_url
ca,los angeles,2014,fiat,500l,5995,65900,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/2014-fiat-500l-lounge-65k-miles/7234524426.html,https://images.craigslist.org/00p0p_fFqn6G4FIb1_0CI0sV_600x450.jpg
ca,los angeles,2008,mazda,3,5200,121252,4 cylinders,fwd,gas,manual,https://losangeles.craigslist.org/sfv/ctd/d/panorama-city-2008-mazda/7234524282.html,https://images.craigslist.org/01111_7x6DCIqIoz7_0t20CI_600x450.jpg
ca,los angeles,2013,ford,f750,61000,29000,6 cylinders,rwd,diesel,automatic,https://losangeles.craigslist.org/wst/cto/d/los-angeles-ford-dump-truck-750/7234524154.html,https://images.craigslist.org/00f0f_2bSxayoBhf6_0lM0t2_600x450.jpg
ca,los angeles,2014,honda,pilot ex-l 4wd,13500,72767,6 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/compton-2014-honda-pilot-touring/7234519900.html,https://images.craigslist.org/01111_9Zjlu3tv2pR_0CI0t2_600x450.jpg
ca,los angeles,2008,bmw,335i,11500,102000,6 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/lgb/cto/d/long-beach-convertible-bmw-335i-fully/7234519103.html,https://images.craigslist.org/00P0P_6Vgb7Y0Th80_0t20t2_600x450.jpg
ca,los angeles,2019,honda,civic si coupe si,22900,10300,4 cylinders,fwd,gas,manual,https://losangeles.craigslist.org/lac/ctd/d/bellflower-2019-honda-civic-si-coupe-si/7234518092.html,https://images.craigslist.org/00909_5bwE2umpSGs_0ag07K_600x450.jpg
ca,los angeles,2009,toyota,camry xle,7900,72349,6 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/wst/cto/d/santa-monica-2009-camry-xle-only-miles/7234517284.html,https://images.craigslist.org/00f0f_5Wg47wQcPmL_0ak07K_600x450.jpg
ca,los angeles,2003,jeep,wrangler,11999,108786,4 cylinders,4wd,gas,manual,https://losangeles.craigslist.org/wst/cto/d/los-angeles-2003-jeep-wrangler-4x4/7234516992.html,https://images.craigslist.org/00y0y_cZHf12XAg96_0CI0t2_600x450.jpg
ca,los angeles,2004,honda,odyssey ex,5999,119786,6 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/wst/cto/d/los-angeles-04-honda-odyssey-leather/7234514831.html,https://images.craigslist.org/00c0c_f68bF84gOns_04Q03D_600x450.jpg
ca,los angeles,2004,toyota,rav4,4250,162019,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/compton-2004-toyota-rav4-v4-cilindrs/7234513643.html,https://images.craigslist.org/00808_4CXxauiYDK9_0CI0t2_600x450.jpg
