,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo
34,2013,Hyundai,['Elantra'],GLS Sedan Automatic,Duncanville,TX,"91,386","$6,488",Phantom Black Metallic,Gray,28,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Front Heated Seats', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
35,2020,Toyota,['Corolla'],LE CVT,San Antonio,TX,"23,766","$13,939",Super White,Black,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Fleet or Mixed Use', 'Clean', '1']",False
36,2019,Nissan,['Altima'],SL FWD,Woodside,NY,"45,802","$12,599",Super Black,Charcoal,28,39,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Premium Audio', 'Premium Seat Material', 'Remote Engine Start', 'Adaptive Cruise Control', 'Lane Keep Assist', 'Parking Sensors', 'Moonroof', 'Navigation', 'Front Heated Seats', 'Multi-Zone Climate Control', 'Blind Spot System', 'Backup Camera', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
37,2020,Kia,['Optima'],LX Automatic,Jacksonville,NC,"41,027","$14,350",Snow White Pearl,Black,24,32,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Lane Keep Assist', 'Parking Sensors', 'Blind Spot System', 'Backup Camera', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
38,2019,Dodge,"['Grand', 'Caravan']",SXT,Jacksonville,NC,"41,184","$13,850",White Knuckle Clearcoat,Black,17,25,3.6L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Third Row Seating', 'Backup Camera', 'Power Trunk/Liftgate', 'Front Heated Seats', 'Remote Engine Start', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
39,2016,Nissan,['Rogue'],S FWD,Mechanicsville,VA,"94,897","$10,768",Brilliant Silver,Charcoal,26,33,2.5L Inline-4 Gas,Automatic,FWD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
40,2015,Nissan,['Altima'],2.5 SV,Lithia Springs,GA,"85,693","$8,994",Pearl White,Charcoal,27,38,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Multi-Zone Climate Control', 'Bluetooth', 'Remote Engine Start', 'Backup Camera']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
41,2020,Jeep,['Wrangler'],Unlimited Sahara High Altitude,Olympia,WA,"11,109","$41,500",Black Clearcoat,Black,21,22,2.0L V-4 Gas Turbocharged,Automatic,4WD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
42,2020,Jeep,['Wrangler'],Unlimited Sahara High Altitude,Roswell,GA,"8,278","$41,759",Silver,Black,21,22,2.0L V-4 Gas Turbocharged,Automatic,4WD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
43,2020,Jeep,['Wrangler'],Unlimited Sahara High Altitude,Orlando,FL,"14,650","$37,700",White,Black,21,22,2.0L V-4 Gas Turbocharged,Automatic,4WD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
