state,year,manufacturer,model,price,mileage,transmission
CA,2019,Volkswagen,Tiguan,22990,19852,Automatic
CA,2016,Honda,Civic,13985,59310,Automatic
CA,2018,Mercedes-Benz,EClass,37997,25921,Automatic
CA,2019,INFINITI,QX60,25590,36429,Automatic
CA,2018,Mercedes-Benz,EClass,44997,18900,Automatic
CA,2012,Acura,TSX,13590,69989,Automatic
CA,2015,BMW,X1,13495,70692,Automatic
CA,2014,Subaru,Outback,13590,99907,Automatic
CA,2018,Honda,Civic,12999,34708,Automatic
CA,2018,Mercedes-Benz,SClass,59995,16596,Automatic
CA,2013,Tesla,ModelS,34990,50828,Automatic
CA,2018,Nissan,Versa,9200,32971,Automatic
CA,2012,Acura,TSX,11990,97974,Automatic
CA,2013,Toyota,Avalon,17590,68815,Automatic
CA,2011,BMW,M3,26990,89189,Automatic
CA,2015,Toyota,Highlander,21990,90862,Automatic
CA,2002,BMW,5Series,3499,108000,Automatic
CA,2010,Volkswagen,Jetta,6495,106286,Automatic
CA,2017,Mercedes-Benz,GLS,37594,52813,Automatic
CA,2015,Toyota,Camry,13990,56242,Automatic
CA,2014,BMW,3Series,19590,89029,Automatic
CA,2015,Volkswagen,Jetta,10495,45440,Automatic
CA,2019,Nissan,RogueSport,16000,35799,Automatic
CA,2016,Kia,Forte,11590,43671,Automatic
CA,2017,Nissan,LEAF,10000,41367,Automatic
CA,2014,Honda,CRV,13590,97376,Automatic
CA,2014,Lexus,GS,20590,67380,Automatic
CA,2016,Dodge,Challenger,25439,34000,Automatic
CA,2014,Honda,Accord,13990,97991,Automatic
CA,2013,Lexus,ES,18990,41773,Automatic
CA,2015,Chevrolet,Cruze,8200,67310,Automatic
CA,2018,Hyundai,SantaFeSport,13495,61396,Automatic
CA,2017,Ram,1500,31500,40465,Automatic
CA,2017,Nissan,Rogue,16888,38569,Automatic
CA,2017,Mazda,CX5,16400,68763,Automatic
CA,2014,Audi,S6,29990,50534,Automatic
CA,2018,Audi,A5,33592,15390,Automatic
CA,2007,Volkswagen,GolfGTI,7995,96753,Automatic
CA,2017,Tesla,ModelS,52980,13609,Automatic
CA,2015,Mazda,Mazda3,11995,22000,Automatic
CA,2007,BMW,5Series,6495,159951,Automatic
CA,2015,Ford,Edge,14500,75240,Automatic
CA,2019,MINI,Hardtop,26999,1527,Automatic
CA,2014,Toyota,RAV4,12988,108617,Automatic
CA,2017,Lexus,NX,25188,24477,Automatic
CA,2013,Honda,Fit,9199,84522,Automatic
CA,2014,Toyota,Camry,13590,53557,Automatic
CA,2020,Mercedes-Benz,GLA,33999,15,Automatic
CA,2017,Lexus,NX,26990,17738,Automatic
CA,2018,Lexus,NX,28990,12913,Automatic
CA,2012,BMW,1Series,17200,54108,Automatic
CA,2012,Honda,Accord,11590,82594,Automatic
CA,2016,Hyundai,Sonata,11590,72826,Automatic
CA,2012,BMW,5Series,17990,75317,Automatic
CA,2014,BMW,i8,69993,4697,Automatic
CA,2017,Mercedes-Benz,SLC,34995,18258,Automatic
CA,2020,Dodge,Durango,30000,19,Automatic
CA,2017,BMW,X5,29329,61484,Automatic
CA,2008,Lexus,RX,10895,92056,Automatic
CA,2020,Cadillac,Escalade,61050,3885,Automatic
CA,2020,Subaru,Forester,26000,3640,Automatic
