state,year,manufacturer,model,price,mileage,transmission,url,img
NY,2013,Honda,Accord,8999,107950,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1HGCR2F84DA060053/2013-honda-accord/,https://listings-prod.tcimg.net/listings/113179/53/00/1HGCR2F84DA060053/2U2AYSA6FB5GL4T4FKMB2GDN4I-cr-360.jpg
NY,2018,Mercedes-Benz,GLE,44901,20329,Automatic,https://www.truecar.com/used-cars-for-sale/listing/4JGDA5HBXJA998635/2018-mercedes-benz-gle/,https://listings-prod.tcimg.net/listings/2441/35/86/4JGDA5HBXJA998635/O57BMS7W4CQFQ2FMZR35OOVSTA-cr-360.jpg
NY,2015,Nissan,Altima,9995,58062,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP1FC475405/2015-nissan-altima/,https://listings-prod.tcimg.net/listings/47352/05/54/1N4AL3AP1FC475405/XDEELX2WL7N2FZ26X6SSAOCX6I-cr-360.jpg
NJ,2019,Nissan,Sentra,11897,39610,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP9KL626156/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/83522/56/61/3N1AB7AP9KL626156/PNHWV5BMYD2XV6LT32N3TJQ5OI-cr-360.jpg
NJ,2020,GMC,Terrain,22897,24797,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3GKALVEV0LL103475/2020-gmc-terrain/,https://listings-prod.tcimg.net/listings/83522/75/34/3GKALVEV0LL103475/4CP6ZJOSKCEK5CQUR5Q2ALYN2Q-cr-360.jpg
NJ,2020,GMC,Terrain,21697,35288,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3GKALVEV7LL102050/2020-gmc-terrain/,https://listings-prod.tcimg.net/listings/83522/50/20/3GKALVEV7LL102050/V2QMO3GWBFGA7UC6BNAUPMHJTM-cr-360.jpg
NY,2019,Dodge,Charger,18695,40192,Automatic,https://www.truecar.com/used-cars-for-sale/listing/2C3CDXHG9KH678096/2019-dodge-charger/,https://listings-prod.tcimg.net/listings/143272/96/80/2C3CDXHG9KH678096/MZVKTJYRQFCCRNZ26KTZMOYFJY-cr-360.jpg
NY,2017,Honda,Civic,11999,103176,Automatic,https://www.truecar.com/used-cars-for-sale/listing/19XFC1F96HE203992/2017-honda-civic/,https://listings-prod.tcimg.net/listings/113179/92/39/19XFC1F96HE203992/M4ZGRNPKIKD6NM6JUL3JYNWVQI-cr-360.jpg
NY,2015,Nissan,Sentra,5950,115115,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP1FY244115/2015-nissan-sentra/,https://listings-prod.tcimg.net/listings/105145/15/41/3N1AB7AP1FY244115/JORQ6SWY3CPAB6R4JHYUFZIXPQ-cr-360.jpg
NY,2017,Toyota,Camry,10999,79329,Automatic,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FKXHU715275/2017-toyota-camry/,https://listings-prod.tcimg.net/listings/113179/75/52/4T1BF1FKXHU715275/YCHQXA3CB3WGS632CLYAYUCLBU-cr-360.jpg
NY,2017,Toyota,Camry,12888,45495,Automatic,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK5HU704037/2017-toyota-camry/,https://listings-prod.tcimg.net/listings/58521/37/40/4T1BF1FK5HU704037/TGEI2EDLWJ2KRTGXJX4XZZPFKQ-og-360.jpg
NY,2017,Ford,Fusion,8499,104666,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0H70HR230999/2017-ford-fusion/,https://listings-prod.tcimg.net/listings/113179/99/09/3FA6P0H70HR230999/Y6MGPN25A4X2VJX7YFHDLJKBRI-cr-360.jpg
NY,2017,Mercedes-Benz,EClass,27130,53898,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WDDZF4KB4HA135389/2017-mercedes-benz-e-class/,https://listings-prod.tcimg.net/listings/171212/89/53/WDDZF4KB4HA135389/C6G3GBUMVZH5JMZ5ECNINHPFAI-cr-360.jpg
NY,2018,Nissan,Sentra,10870,30281,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP0JY266129/2018-nissan-sentra/,https://listings-prod.tcimg.net/listings/192071/29/61/3N1AB7AP0JY266129/HXH7COMSAM36BGLZCOHK5ON4WQ-cr-360.jpg
