state,year,manufacturer,model,price,mileage,drive_type,transmission,fuel,url,img
NY,2015,Nissan,Sentra,5950,115115,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP1FY244115/2015-nissan-sentra/,https://listings-prod.tcimg.net/listings/105145/15/41/3N1AB7AP1FY244115/RKSIHEJZGTBA26GOQ2CUHX6SKU-cr-360.jpg
NY,2017,Toyota,Camry,10999,79329,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FKXHU715275/2017-toyota-camry/,https://listings-prod.tcimg.net/listings/113179/75/52/4T1BF1FKXHU715275/YCHQXA3CB3WGS632CLYAYUCLBU-cr-360.jpg
NJ,2020,Toyota,Corolla,14197,34160,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE9LP021634/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/83522/34/16/5YFEPRAE9LP021634/SL3SF6PC77DBV6XU2HWND6WWSE-cr-360.jpg
NY,2017,Ford,Fusion,8499,104666,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0H70HR230999/2017-ford-fusion/,https://listings-prod.tcimg.net/listings/113179/99/09/3FA6P0H70HR230999/Y6MGPN25A4X2VJX7YFHDLJKBRI-cr-360.jpg
NY,2017,Toyota,Camry,12888,45495,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK5HU704037/2017-toyota-camry/,https://listings-prod.tcimg.net/listings/58521/37/40/4T1BF1FK5HU704037/TGEI2EDLWJ2KRTGXJX4XZZPFKQ-og-360.jpg
NJ,2020,GMC,Terrain,21697,35288,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3GKALVEV7LL102050/2020-gmc-terrain/,https://listings-prod.tcimg.net/listings/83522/50/20/3GKALVEV7LL102050/V2QMO3GWBFGA7UC6BNAUPMHJTM-cr-360.jpg
NY,2019,Ford,Fusion,10700,40519,FWD,Automatic,Hybrid,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0LU1KR180215/2019-ford-fusion/,https://listings-prod.tcimg.net/listings/143272/15/02/3FA6P0LU1KR180215/F6NFVYEILJFH2XXHIYB2QIDWDU-cr-360.jpg
NY,2018,Nissan,Sentra,10870,30281,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP0JY266129/2018-nissan-sentra/,https://listings-prod.tcimg.net/listings/192071/29/61/3N1AB7AP0JY266129/HXH7COMSAM36BGLZCOHK5ON4WQ-cr-360.jpg
NY,2017,Mercedes-Benz,EClass,27130,53898,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WDDZF4KB4HA135389/2017-mercedes-benz-e-class/,https://listings-prod.tcimg.net/listings/171212/89/53/WDDZF4KB4HA135389/C6G3GBUMVZH5JMZ5ECNINHPFAI-cr-360.jpg
NJ,2014,Toyota,Camry,4899,253504,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK7EU818195/2014-toyota-camry/,https://listings-prod.tcimg.net/listings/21504/95/81/4T1BF1FK7EU818195/LFJMTX3CGAF4U42XA47NK3XWLM-cr-360.jpg
NY,2017,Lexus,RX,29750,27539,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/2T2BZMCA3HC112315/2017-lexus-rx/,https://listings-prod.tcimg.net/listings/5836/15/23/2T2BZMCA3HC112315/VJCTKNQGDNH6JSKP6XZU45ZKNY-cr-360.jpg
NY,2007,GMC,Yukon,12888,112009,4WD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1GKFK16337J298807/2007-gmc-yukon/,https://listings-prod.tcimg.net/listings/58521/07/88/1GKFK16337J298807/4JTVOQHJVV4GKWCGIC5FKN2PTE-og-360.jpg
NY,2015,Toyota,Camry,10888,123003,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK8FU061986/2015-toyota-camry/,https://listings-prod.tcimg.net/listings/58521/86/19/4T1BF1FK8FU061986/TOVPDA3L5SE2K7SHJ5DLXDD3J4-og-360.jpg
CA,2019,Nissan,Rogue,17000,39280,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5N1AT2MT1KC777554/2019-nissan-rogue/,https://listings-prod.tcimg.net/listings/213192/54/75/5N1AT2MT1KC777554/GYLRQXLFWE6DJTRPNGFHWXI7RI-cr-360.jpg
CA,2020,Toyota,Corolla,14288,26803,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE2LP019708/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/30673/08/97/5YFEPRAE2LP019708/3TL77CJWJAXIVFF7CH3WUSJGV4-cr-360.jpg
CA,2018,Audi,Q5,32694,26683,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WA1BNAFY4J2074857/2018-audi-q5/,https://listings-prod.tcimg.net/listings/1695/57/48/WA1BNAFY4J2074857/OWI6UROV3QFVUBR3WHGB3GCYIE-cr-360.jpg
CA,2004,Land,RoverDiscovery,8995,131266,4WD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/SALTY19444A834024/2004-land-rover-discovery/,https://listings-prod.tcimg.net/listings/26293/24/40/SALTY19444A834024/3SNWBGLV67C7G4EXK7FABXUUGA-cr-360.jpg
CA,2008,Mazda,Tribute,4500,137824,4WD,Automatic,Hybrid,https://www.truecar.com/used-cars-for-sale/listing/4F2CZ59H38KM31876/2008-mazda-tribute/,https://listings-prod.tcimg.net/listings/176989/76/18/4F2CZ59H38KM31876/C6IZULS36CU5CU7QH4NYDZDTTA-cr-360.jpg
CA,2011,Ford,Mustang,12000,30700,RWD,Manual,Gas,https://www.truecar.com/used-cars-for-sale/listing/1ZVBP8AM7B5169388/2011-ford-mustang/,https://listings-prod.tcimg.net/listings/176989/88/93/1ZVBP8AM7B5169388/PLIUPGLYQOMNBHXBQU727E4OJE-cr-360.jpg
CA,2017,Honda,Civic,15821,20518,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/2HGFC2F77HH512591/2017-honda-civic/,https://listings-prod.tcimg.net/listings/8313/91/25/2HGFC2F77HH512591/4B7AMNICL3D7IPR7L6OOKVR7DM-cr-360.jpg
CA,2018,Honda,HRV,16984,18832,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3CZRU6H32JG722168/2018-honda-hr-v/,https://listings-prod.tcimg.net/listings/8313/68/21/3CZRU6H32JG722168/UCNS52ZA3RQXVJW3TD62UPRZTE-cr-360.jpg
CA,2019,Nissan,Sentra,12990,18099,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP7KY367296/2019-nissan-sentra/?zipcode=90291,https://listings-prod.tcimg.net/listings/77763/96/72/3N1AB7AP7KY367296/ZRQD3MOMD5PXVBSFONZSY2VHXU-cr-360.jpg
CA,2015,Honda,Civic,10998,37070,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F51FE265092/2015-honda-civic/,https://listings-prod.tcimg.net/listings/3385/92/50/19XFB2F51FE265092/5AQU5GLTNRGE4VSQDAKA2AAZAI-cr-360.jpg
CA,2007,Volkswagen,GolfGTI,7995,96753,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WVWFV71KX7W111375/2007-volkswagen-golf-gti/,https://listings-prod.tcimg.net/listings/50546/75/13/WVWFV71KX7W111375/YL7IWZY6RPKJWPQQRHQ7DZFQFI-cr-360.jpg
CA,2015,Tesla,ModelS,37995,46702,RWD,Automatic,Electric,https://www.truecar.com/used-cars-for-sale/listing/5YJSA1E14FF120021/2015-tesla-model-s/,https://listings-prod.tcimg.net/listings/26293/21/00/5YJSA1E14FF120021/VCFZHEC5HBJJ2GESH225JL2W4A-cr-360.jpg
CA,2013,MINI,Hardtop,10993,35813,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WMWSV3C55DT396110/2013-mini-hardtop/,https://listings-prod.tcimg.net/listings/182547/10/61/WMWSV3C55DT396110/HZGTKZHWAEUUYGKKQ2BMS3GFPA-cr-360.jpg
CA,2016,Volvo,S60,15840,35177,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/YV126MFK5G2407389/2016-volvo-s60/,https://listings-prod.tcimg.net/listings/5689/89/73/YV126MFK5G2407389/VK4MDLRKUVUXZLWR6H6L3XAANU-cr-360.jpg
CA,2019,Nissan,Rogue,18500,37520,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5N1AT2MV6KC753493/2019-nissan-rogue/,https://listings-prod.tcimg.net/listings/213192/93/34/5N1AT2MV6KC753493/SANRD3UB7V3M3QNIREHZVWNDG4-cr-360.jpg
CA,2016,Volkswagen,eGolf,10190,27685,FWD,Automatic,Electric,https://www.truecar.com/used-cars-for-sale/listing/WVWKP7AU1GW900248/2016-volkswagen-e-golf/,https://listings-prod.tcimg.net/listings/176989/48/02/WVWKP7AU1GW900248/6NRGIKUOWD4WQRM4JXIQAYONTE-cr-360.jpg
CA,2010,Lexus,RX,9495,128008,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/2T2ZK1BA7AC012906/2010-lexus-rx/,https://listings-prod.tcimg.net/listings/32157/06/29/2T2ZK1BA7AC012906/ICH6EFENCNLXD55VOYU7DNNICU-cr-360.jpg
CA,2018,Audi,A4,25094,18254,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/WAUKMAF4XJA064228/2018-audi-a4/,https://listings-prod.tcimg.net/listings/1695/28/42/WAUKMAF4XJA064228/LVXWOR2DVGCJ4JNVDYYZEVUPXU-cr-360.jpg
CA,2018,Toyota,RAV4,18988,19557,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/2T3ZFREV3JW432111/2018-toyota-rav4/,https://listings-prod.tcimg.net/listings/30673/11/21/2T3ZFREV3JW432111/2SL23YPZ4XQ5KNYNXLHOP7NR4Q-cr-360.jpg
CA,2017,Honda,Civic,15529,33021,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/2HGFC2F79HH539100/2017-honda-civic/,https://listings-prod.tcimg.net/listings/8313/00/91/2HGFC2F79HH539100/5KLU2KNO3MAFD5PCQFF3LGVZTA-cr-360.jpg
CA,2017,Volvo,S60,16769,33343,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/YV126MFL2H2427514/2017-volvo-s60/,https://listings-prod.tcimg.net/listings/5689/14/75/YV126MFL2H2427514/QL4JDNA2XGJO7FOLEIMYRAVR7A-cr-360.jpg
